alternative,term,logit_coef,probit_coef
OJT,const,-0.7046440152624779,-0.021208881857600607
OJT,age,0.001209440372120454,0.0013557717626732323
OJT,ed2_only,-0.1203932144028945,-0.09475346472963578
OJT,ed3_only,0.3388392999452195,0.36971773058973173
OJT,black,-0.695981339078406,-0.6529157534362614
OJT,hisp,-0.904314946033876,-0.8899747040714324
OJT,nvrwrk,-0.7793171165642491,-0.6604817047431428
JSA,const,-1.4474052008107434,-1.3044619560033492
JSA,age,0.023818493410577422,0.04371645402303432
JSA,ed2_only,0.157644542744247,0.22122156168901033
JSA,ed3_only,0.4315151849940404,0.686910085723007
JSA,black,-0.3836320510468707,-0.4716771617884858
JSA,hisp,0.5561063033955334,1.2437301509946774
JSA,nvrwrk,-0.7576681826390621,-0.9814805938702805
Other,const,-0.021154872476877674,1.0307743285969866
Other,age,-0.007138515993656504,-0.01092293773183769
Other,ed2_only,-0.3864146014399567,-0.5154235078251672
Other,ed3_only,-0.008406522953056087,-0.09334236066843977
Other,black,-1.2196280317495587,-1.2941397801370629
Other,hisp,-0.0372040779616353,-0.07069069107029825
Other,nvrwrk,-0.07474608373990804,-0.10090589005739194
