profile,alternative,logit_prob,probit_prob
Younger HS grad,CT,0.3987834256367842,0.3895792579997319
Younger HS grad,OJT,0.18011891222951115,0.1820489453907805
Younger HS grad,JSA,0.1991623166541781,0.1962926620879525
Younger HS grad,Other,0.22193534547952656,0.23207913452153503
"Older college, black, never worked",CT,0.588832267558192,0.551542069923223
"Older college, black, never worked",OJT,0.09863863434667056,0.10094864279908683
"Older college, black, never worked",JSA,0.19889624803855177,0.2530449086471478
"Older college, black, never worked",Other,0.11363285005658566,0.0944643786305425
"Hispanic, never worked",CT,0.4556603357120717,0.42167595574866895
"Hispanic, never worked",OJT,0.04336942880292322,0.026517374111192833
"Hispanic, never worked",JSA,0.17899097335658437,0.25559608033688896
"Hispanic, never worked",Other,0.32197926212842065,0.29621058980324916
